,engine_pcd,gas_fuel_flow_x,ngp,npt,t1_temperature,t5_average_temperature,turb_air_inlet_filter_dp
2018-09-20 07:04:04+00:00,188.74,0.3347121141152192,94.26,90.58,26.850000000000023,677.92,62
2018-09-20 07:04:34+00:00,188.7,0.3354962969757198,94.24,90.05,26.850000000000023,678.04,62
2018-09-20 07:05:04+00:00,186.76,0.32814395219021003,92.38,90.44,26.850000000000023,671.49,62
2018-09-20 07:05:34+00:00,186.92,0.3280680155852902,92.46,90.51,26.850000000000023,671.54,62
2018-09-20 07:06:04+00:00,186.88,0.3294881824868495,92.46,90.25,26.850000000000023,671.66,62
2018-09-20 07:06:34+00:00,186.98,0.3301695795672381,92.52,90.37,26.850000000000023,671.84,62
2018-09-20 07:07:04+00:00,186.96,0.3296875416010359,92.52,90.33,26.850000000000023,671.82,62
2018-09-20 07:07:34+00:00,186.94,0.32995351820447155,92.52,90.32,26.850000000000023,671.79,62
2018-09-20 07:08:04+00:00,187.0,0.32959044959873024,92.56,90.31,26.850000000000023,671.99,62
2018-09-20 07:08:34+00:00,186.94,0.3291199774587629,92.54,90.26,26.850000000000023,671.95,62
2018-09-20 07:09:04+00:00,187.08,0.3293157249054387,92.62,90.38,26.850000000000023,672.01,62
2018-09-20 07:09:34+00:00,187.1,0.32998036600692426,92.64,90.31,26.850000000000023,672.15,62
2018-09-20 07:10:04+00:00,187.08,0.3297725881276272,92.62,90.59,26.850000000000023,672.23,62
2018-09-20 07:10:34+00:00,187.1,0.33072938929448514,92.64,90.49,26.850000000000023,672.34,62
2018-09-20 07:11:04+00:00,187.06,0.32980715262341154,92.64,90.34,26.850000000000023,672.34,62
2018-09-20 07:11:34+00:00,187.1,0.32933274122698597,92.66,90.5,26.850000000000023,672.4,62
2018-09-20 07:12:04+00:00,187.14,0.33155878398375704,92.7,90.36,26.850000000000023,672.54,62
2018-09-20 07:12:34+00:00,187.1,0.32717709930212213,92.68,90.28,26.850000000000023,672.31,62
2018-09-20 07:13:04+00:00,187.18,0.32899634012433915,92.74,90.35,26.850000000000023,672.49,62
2018-09-20 07:13:34+00:00,187.12,0.3281875782290156,92.72,90.31,26.850000000000023,672.51,62
2018-09-20 07:14:04+00:00,187.14,0.3299265784528651,92.72,90.18,26.850000000000023,672.69,62
2018-09-20 07:14:34+00:00,187.18,0.3297626184370434,92.76,90.32,26.850000000000023,672.81,62
2018-09-20 07:15:04+00:00,187.28,0.33067595730398713,92.82,90.3,26.850000000000023,672.87,62
2018-09-20 07:15:34+00:00,187.24,0.3310181476658132,92.8,90.33,26.850000000000023,672.98,62
2018-09-20 07:16:04+00:00,187.3,0.3301831092165759,92.84,90.53,26.850000000000023,672.88,62
2018-09-20 07:16:34+00:00,187.34,0.33210022239279297,92.88,90.45,26.850000000000023,673.14,62
2018-09-20 07:17:04+00:00,187.24,0.33046597595174615,92.84,90.45,26.850000000000023,673.12,62
2018-09-20 07:17:34+00:00,187.42,0.3299201741865915,92.92,90.37,26.850000000000023,673.12,62
2018-09-20 07:18:04+00:00,187.38,0.3305231973262414,92.92,90.44,26.850000000000023,673.21,62
2018-09-20 07:18:34+00:00,187.36,0.3299337672192182,92.92,90.38,26.850000000000023,673.22,62
2018-09-20 07:19:04+00:00,187.38,0.32975504485663243,92.94,90.26,26.850000000000023,673.21,62
2018-09-20 07:19:34+00:00,187.42,0.33045627014515355,92.98,90.39,26.850000000000023,673.42,62
2018-09-20 07:20:04+00:00,187.38,0.3307139931708219,92.96,90.41,26.850000000000023,673.47,62
2018-09-20 07:20:34+00:00,187.46,0.3312753535439732,93.0,90.43,26.850000000000023,673.6,62
2018-09-20 07:21:04+00:00,187.5,0.3305230342450185,93.04,90.44,26.850000000000023,673.55,62
2018-09-20 07:21:34+00:00,187.5,0.3326751739160445,93.04,90.39,26.850000000000023,673.77,62
2018-09-20 07:22:04+00:00,187.58,0.330911667656021,93.08,90.46,26.850000000000023,673.7,62
2018-09-20 07:22:34+00:00,187.48,0.3306912784357656,93.04,90.42,26.850000000000023,673.79,62
2018-09-20 07:23:04+00:00,187.58,0.331374990206838,93.12,90.32,26.850000000000023,673.83,62
2018-09-20 07:23:34+00:00,187.52,0.3312393536713216,93.08,90.47,26.850000000000023,673.9,62
2018-09-20 07:24:04+00:00,187.6,0.3306748762075674,93.14,90.48,26.850000000000023,673.93,62
2018-09-20 07:24:34+00:00,187.62,0.3320349224546869,93.16,90.5,26.850000000000023,674.04,62
2018-09-20 07:25:04+00:00,187.68,0.33221173758650113,93.2,90.31,26.850000000000023,674.07,62
2018-09-20 07:25:34+00:00,187.68,0.332032227054085,93.2,90.24,26.850000000000023,674.22,62
2018-09-20 07:26:04+00:00,187.68,0.33149301406256726,93.2,90.45,26.850000000000023,674.2,62
2018-09-20 07:26:34+00:00,187.68,0.33332927994894873,93.22,90.26,26.850000000000023,674.44,62
2018-09-20 07:27:04+00:00,187.6,0.330570435698194,93.18,90.29,26.850000000000023,674.22,62
2018-09-20 07:27:34+00:00,187.78,0.33318099196616124,93.28,90.37,26.850000000000023,674.56,62
2018-09-20 07:28:04+00:00,187.8,0.33232822436732845,93.3,90.48,26.850000000000023,674.53,62
2018-09-20 07:28:34+00:00,187.76,0.33152504812741235,93.28,90.26,26.850000000000023,674.5,62
2018-09-20 07:29:04+00:00,187.74,0.33304435839346674,93.3,90.42,26.850000000000023,674.72,62
2018-09-20 07:29:34+00:00,187.76,0.33227796370920204,93.3,90.39,26.850000000000023,674.65,62
2018-09-20 07:30:04+00:00,187.84,0.33206587302510404,93.36,90.36,26.850000000000023,674.71,62
2018-09-20 07:30:34+00:00,187.92,0.33065316485910334,93.42,90.37,26.850000000000023,674.63,62
2018-09-20 07:31:04+00:00,187.86,0.33224099097769905,93.38,90.36,26.850000000000023,674.86,62
2018-09-20 07:31:34+00:00,187.92,0.3311897196486866,93.42,90.4,26.850000000000023,674.85,62
2018-09-20 07:32:04+00:00,187.94,0.33277898121532135,93.44,90.39,26.850000000000023,675.01,62
2018-09-20 07:32:34+00:00,187.96,0.33259779608542606,93.46,90.43,26.850000000000023,675.04,62
2018-09-20 07:33:04+00:00,187.98,0.33337957556910264,93.48,90.42,26.850000000000023,675.19,62
2018-09-20 07:33:34+00:00,188.0,0.33255889463831356,93.5,90.37,26.850000000000023,675.18,62
2018-09-20 07:34:04+00:00,187.98,0.332441433313533,93.5,90.6,26.850000000000023,675.24,62
2018-09-20 07:34:34+00:00,188.04,0.3326273045402386,93.54,90.53,26.850000000000023,675.32,62
2018-09-20 07:35:04+00:00,188.02,0.33334773349706026,93.54,90.46,26.850000000000023,675.39,62
2018-09-20 07:35:34+00:00,188.02,0.33272234028997133,93.54,90.48,26.850000000000023,675.37,62
2018-09-20 07:36:04+00:00,188.08,0.33383376508439644,93.58,90.48,26.850000000000023,675.57,62
2018-09-20 07:36:34+00:00,188.12,0.3334308176082456,93.62,90.47,26.850000000000023,675.59,62
2018-09-20 07:37:04+00:00,188.04,0.3310647988081129,93.58,90.52,26.850000000000023,675.51,62
2018-09-20 07:37:34+00:00,188.04,0.33238468731354276,93.58,90.29,26.850000000000023,675.65,62
2018-09-20 07:38:04+00:00,188.16,0.33261423814963365,93.66,90.42,26.850000000000023,675.73,62
2018-09-20 07:38:34+00:00,188.14,0.3322457299943409,93.66,90.52,26.850000000000023,675.73,62
2018-09-20 07:39:04+00:00,188.16,0.3322477422811665,93.68,90.38,26.850000000000023,675.85,62
2018-09-20 07:39:34+00:00,188.16,0.33366694242514977,93.68,90.42,26.850000000000023,675.94,62
2018-09-20 07:40:04+00:00,188.26,0.3330842343965981,93.74,90.33,26.850000000000023,675.97,62
2018-09-20 07:40:34+00:00,188.26,0.3335166251221543,93.74,90.36,26.850000000000023,676.05,62
2018-09-20 07:41:04+00:00,188.24,0.3343131192559498,93.76,90.44,26.850000000000023,676.19,62
2018-09-20 07:41:34+00:00,188.24,0.33256473336673165,93.76,90.4,26.850000000000023,676.1,62
2018-09-20 07:42:04+00:00,188.24,0.33414698471581644,93.76,90.2,26.850000000000023,676.29,62
2018-09-20 07:42:34+00:00,188.2,0.33398489049492575,93.76,90.16,26.850000000000023,676.34,62
2018-09-20 07:43:04+00:00,188.36,0.3338155812140187,93.84,90.63,26.850000000000023,676.37,62
